f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
5,North,D,Dwarka,230GFCC1,115'',61'',Backlit fabric with silicon stirp,,1,48.82118056,,0,Backlit ,Cash Counter,Non-apps,Non-apps,
6,North,D,Dwarka,230GFSV1,22'',64'',Translit Film,"6""",9,9.777777778,,0,Frontlit,Sensomatic,Beauty,Beauty,
7,North,D,Dwarka,230GFV1,51'',106'',Backlit fabric with silicon stirp,,1,37.81467014,,0,Backlit ,Pillar,Watches,Non-apps,
8,North,D,Dwarka,230GFV2,54'',106'',Backlit fabric with silicon stirp,,1,39.65928819,,0,Backlit ,Pillar,Sunglass,Non-apps,
9,North,D,Dwarka,230GFV3,54'',106'',Backlit fabric with silicon stirp,,1,39.65928819,,0,Backlit ,Pillar,Sunglass,Non-apps,
10,North,D,Dwarka,230GFV4,51'',106'',Backlit fabric with silicon stirp,,1,37.72569444,,0,Backlit ,Pillar,Fragrance,Beauty,
11,North,D,Dwarka,230GFV5,35'',102'',Backlit fabric with silicon stirp,,1,24.79166667,,0,Backlit ,Pillar,Ladies Western,Ladies,
12,North,D,Dwarka,230GFV6,35'',102'',Backlit fabric with silicon stirp,,1,24.96875,,0,Backlit ,Pillar,Ladies Western,Ladies,
13,North,D,Dwarka,230GFV7,56'',106'',Backlit fabric with silicon stirp,,1,40.89270833,,0,Backlit ,Façade,Non-apps,Non-apps,
14,North,D,Dwarka,230LGSV1,,,Need Recce,,,,,-1,Frontlit,Sensomatic,Ladies Western,Ladies,
15,North,D,Dwarka,230LGV1,,,Need Recce,,,,,-1,Backlit ,Pillar,Leather,Leather,
16,North,D,Dwarka,230LGV3,,,Need Recce,,,,,-1,Backlit ,Pillar,Home ,Home ,
17,North,D,Dwarka,230LGV4,35'',102'',Backlit fabric with silicon stirp,,1,24.79166667,,-1,Backlit ,Pillar,Indian Wear,Ladies,
18,North,D,Dwarka,230LGV5,,,Need Recce,,,,,-1,Backlit ,Pillar,Lingerie,Ladies,
19,North,D,Dwarka,230DS01,,,Actual,,,,,0,Digital,Store Entrance,Non-apps,Non-apps,
20,North,D,Dwarka,230LGFB1,,,Actual,,,,,-1,Backlit ,Façade,Generic,Generic,
21,North,D,Dwarka,230FFV1,35'',102'',Backlit fabric with silicon stirp,,1,24.61458333,,1,Backlit ,Pillar,Mens Formal,Mens ,
22,North,D,Dwarka,230FFV2,35'',102'',Backlit fabric with silicon stirp,,1,24.61458333,,1,Backlit ,Pillar,Mens Denim,Mens ,
23,North,D,Dwarka,230FFSV1,17'',48'',Translit Film,,14,5.5,,1,Frontlit,Sensomatic,Mens,Mens ,
24,North,D,Dwarka,230LGCC1,115'',65'',Backlit fabric with silicon stirp,,1,51.51041667,,-1,Backlit ,Cash Counter,Ladies,Ladies,
25,North,D,Dwarka,230LGV2,,,Need Recce,,,,,-1,Backlit ,Pillar,Kids,Kids,
,,,,,,,,,,,,,,,,,
1,North,D,EDM Ghaziabad,500GFCC1,68'',222'',Backlit fabric with silicon strip,,1,103.9819444,,0,backlit,Cash Counter,Generic,Generic,
2,North,D,EDM Ghaziabad,500GFSOH1,45'',121'',Backlit fabric with silicon strip,,1,37.54580694,,0,backlit,Pillar,Beauty,Beauty,
3,North,D,EDM Ghaziabad,500GFSOH2,46'',116'',Backlit fabric with silicon strip,,1,36.89583333,,0,backlit,Pillar,Fragrance,Beauty,
4,North,D,EDM Ghaziabad,500GFSOH3,45'',115'',Backlit fabric with silicon strip,,1,35.78125,,0,backlit,Pillar,Watches,Non-apps,
5,North,D,EDM Ghaziabad,500GFSOH4,46'',114'',Backlit fabric with silicon strip,,1,36.41666667,,0,backlit,Pillar,Sunglass,Non-apps,
6,North,D,EDM Ghaziabad,500GFSOH5,29'',104'',Backlit fabric with silicon strip,,1,20.94444444,,0,backlit,Pillar,Ladies Western,Ladies,
7,North,D,EDM Ghaziabad,500GFSOH6,46'',10'',Backlit fabric with silicon strip,,1,3.352218056,,0,backlit,Pillar,Women Athleisure,Ladies,
8,North,D,EDM Ghaziabad,500GFSOH7,47'',104'',Backlit fabric with silicon strip,,1,33.58333333,,0,backlit,Pillar,Mens Denim,Mens,
9,North,D,EDM Ghaziabad,500GFSOH8,23'',104'',Backlit fabric with silicon strip,,1,16.82777778,,0,backlit,Pillar,Lingerie,Ladies,
10,North,D,EDM Ghaziabad,500GFSOH9,47'',104'',Backlit fabric with silicon strip,,1,33.94444444,,0,backlit,Pillar,Lingerie,Ladies,
11,North,D,EDM Ghaziabad,500GFSV2,14'',55'',Translit film,,8,5.15625,,0,Frontlit,Sensomatic,Beauty,Beauty,
12,North,D,EDM Ghaziabad,500GFFB1,,,Need Recce,,,,,0,backlit,Façade,Generic,Generic,
13,North,D,EDM Ghaziabad,500GFSV1,13'',55'',Translit film,,10,4.965277778,,0,Frontlit,Sensomatic,Beauty,Beauty,
14,North,D,EDM Ghaziabad,500GFSV3,13'',55'',Translit film,,6,4.965277778,,0,Frontlit,Sensomatic,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,North,C,Emerald,226FFCC1,162'',55'',Backlit Fabric with silicon strip,,1,61.12326389,,1,backlit,Cash Counter,Ladies,Ladies,
2,North,C,Emerald,226FFFB1,105'',87'',Backlit Fabric with silicon strip,,1,63.07291667,,1,backlit,Façade,Ladies,Ladies,
3,North,C,Emerald,226FFV1,40'',121'',Backlit Fabric with silicon strip,,1,33.19097222,,1,backlit,Pillar,Indian Wear,Ladies,
4,North,C,Emerald,226FFV2,35'',102'',Backlit Fabric with silicon strip,,1,24.4375,,1,backlit,Pillar,Ladies Western,Ladies,
5,North,C,Emerald,226FFV3,35'',102'',Backlit Fabric with silicon strip,,1,24.4375,,1,backlit,Pillar,Ladies Western,Ladies,
6,North,C,Emerald,226FFV4,39'',106'',Backlit Fabric with silicon strip,,1,28.34027778,,1,backlit,Pillar,Kids,KIDS,
7,North,C,Emerald,226FFV5,62'',105'',Backlit Fabric with silicon strip,,1,45.20833333,,1,backlit,Pillar,Indian Wear,Ladies,
8,North,C,Emerald,226FFV6,39'',104'',Backlit Fabric with silicon strip,,1,28.03125,,1,backlit,Pillar,Lingerie,Ladies,
9,North,C,Emerald,226FFV7,38'',104'',Backlit Fabric with silicon strip,,1,27.3125,,1,backlit,Pillar,Lingerie,Ladies,
10,North,C,Emerald,226FFV8,35'',102'',Backlit Fabric with silicon strip,,1,24.79166667,,1,backlit,Pillar,Indian Wear,Ladies,
11,North,C,Emerald,226GFCC1,161'',55'',Backlit Fabric with silicon strip,,1,61.49305556,,0,backlit,Cash Counter,Non-apps,Non-apps,
12,North,C,Emerald,226GFFB1,126'',480'',Flex,,1,420,,0,backlit,Façade,Beauty,Beauty,
13,North,C,Emerald,226GFV2,45'',111'',Backlit Fabric with silicon strip,,1,34.30208333,,0,backlit,Pillar,Beauty,Beauty,
14,North,C,Emerald,226GFV3,,,,,1,0,,0,backlit,Pillar,Fragrance,Beauty,
15,North,C,Emerald,226GFV4,48'',111'',Backlit Fabric with silicon strip,,1,36.61458333,,0,backlit,Pillar,Watches,Non-apps,
