58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
41,South,A,GVK,22SFV7,69'',103'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Footwear,Leather,
42,South,A,GVK,22SFV6,40'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
43,South,A,GVK,22SFV3,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
44,South,A,GVK,22SFV1,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
45,South,A,GVK,22GFBL1,63'',105'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Façade,Non-apps,Non-apps,
46,South,A,GVK,22FFDS01, 320 px x 704 px ,"704""",MP4/JPEG,,,,,1,Digital,Store Entrance,Generic,Generic,
47,South,A,GVK,22FFSV1,17'',48'',Translite Flim,,4panel/8visual,,,1,Frontlit,Sensomatic,Indian Wear,Ladies,
48,South,A,GVK,22SFSV1,17'',48'',Translite Flim,,4panel/8visual,,,2,Frontlit,Sensomatic,Mens,Mens,
,,,,,,,,,,,,,,,,,
1,South,B,Malleswaram,43GFFL12,43'',107'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
2,South,B,Malleswaram,43GFFL18,42'',102'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
3,South,B,Malleswaram,43GFFL19,42'',102'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
4,South,B,Malleswaram,43GFFL20,42'',102'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
5,South,B,Malleswaram,43GFFL21,42'',102'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
6,South,B,Malleswaram,43ESC2,48'',74'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Stairway,Ladies,Ladies,
7,South,B,Malleswaram,43FFFL4,41'',107'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
8,South,B,Malleswaram,43FFFL5,41'',107'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
9,South,B,Malleswaram,43FFFL7,41'',107'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Kids girl,Kids,
10,South,B,Malleswaram,43FFFL8,60'',97'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
12,South,B,Malleswaram,43FFBL1,83'',104'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens,Mens,
13,South,B,Malleswaram,43FFCC1,218'',74'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Cash Counter,Mens,Mens,
14,South,B,Malleswaram,43FFFL1,36'',80'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
15,South,B,Malleswaram,43FFFL2,36'',80'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
16,South,B,Malleswaram,43FFFL3,36'',80'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
17,South,B,Malleswaram,43FFFL4,41'',108'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
18,South,B,Malleswaram,43FFFL5,41'',108'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
19,South,B,Malleswaram,43FFFL6,41'',107'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Kids Boy,Kids,
20,South,B,Malleswaram,43FFFL7,41'',107'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Kids girl,Kids,
21,South,B,Malleswaram,43FFFL8,60'',97'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Mens Denim,Mens,
22,South,B,Malleswaram,43GFFL1,46'',145'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
23,South,B,Malleswaram,43GFFL2,46'',145'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
24,South,B,Malleswaram,43GFFL3,42'',145'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
25,South,B,Malleswaram,43GFFL4,41'',145'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
26,South,B,Malleswaram,43GFFL5,26'',83'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Ladies Western,Ladies,
27,South,B,Malleswaram,43GFFL6,44'',104'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
28,South,B,Malleswaram,43GFFL7,44'',104'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Lingerie,Ladies,
29,South,B,Malleswaram,43GFFL8,41'',124'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
30,South,B,Malleswaram,43GFFL9,46'',124'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
31,South,B,Malleswaram,43GFFL10,41'',124'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
32,South,B,Malleswaram,43GFFL11,41'',124'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
33,South,B,Malleswaram,43GFFL13,46'',110'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
34,South,B,Malleswaram,43GFFL14,46'',110'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
35,South,B,Malleswaram,43GFFL15,58'',110'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
36,South,B,Malleswaram,43GFFL16,58'',110'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
37,South,B,Malleswaram,43GFFL17,112'',113'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
38,South,B,Malleswaram,43GFMW1,190'',101'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Window,Fragrance,Beauty,
39,South,B,Malleswaram,43GFMW2,62'',101'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Window,Non-apps,Non-apps,
40,South,B,Malleswaram,43ESC1,48'',74'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Stairway,Ladies,Ladies,
41,South,B,Malleswaram,43GFSV1,13'',55'',Translite Flim,,10 visuals,,,0,Frontlit,Sensomatic,Watches,Non-apps,
42,South,B,Malleswaram,43GFSV2,13'',55'',Translite Flim,,6 visuals,,,0,Frontlit,Sensomatic,Beauty,Beauty,
43,South,B,Malleswaram,43GFCC1,Actuals,Actuals,Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps,
44,South,B,Malleswaram,43DS01, 384 pixels x 1216 pixels,,MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
45,South,B,Malleswaram,43DS02,1920 pixels x 1680 pixels,,MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
46,South,B,Malleswaram,43FFSV1,13'',55'',Translite Flim,,8 visuals,,,1,Frontlit,Sensomatic,Mens,Mens,
47,South,B,Malleswaram,43FFSV2,13'',55'',Translite Flim,,8 visuals,,,1,Frontlit,Sensomatic,Kids,Generic,
,,,,,,,,,,,,,,,,,
1,South,C,Panjagutta,269GFV1,46'',126'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
2,South,C,Panjagutta,269GFV2,44'',132'',Backlit Fabric with Silion Strips,,,,,0,Frontlit,Pillar,Lingerie,Ladies,
3,South,C,Panjagutta,269GFV3,44'',132'',Backlit Fabric with Silion Strips,,,,,0,Frontlit,Pillar,Lingerie,Ladies,
4,South,C,Panjagutta,269GFV4,46'',125'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
5,South,C,Panjagutta,269FFV1,33'',118'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
6,South,C,Panjagutta,269FFV2,38'',118'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
7,South,C,Panjagutta,269FFV3,38'',118'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
8,South,C,Panjagutta,269FFV4,38'',118'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Luggage,Luggage,
9,South,C,Panjagutta,269FFV5,38'',118'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Luggage,Luggage,
10,South,C,Panjagutta,269SFSV1,20'',55'',Grey Back Self adhesive vinyl with matt lamination,5,4,,,2,Frontlit,Sensomatic,Mens,Mens,
11,South,C,Panjagutta,269SFV1,28'',107'',Grey Back Self adhesive vinyl with matt lamination,,2 visuals,,,2,Frontlit,Pillar,Mens Denim,Mens,
12,South,C,Panjagutta,269SFV2 A,32'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,,,,,,
13,South,C,Panjagutta,269SFV4A,26'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Formal,Mens,
14,South,C,Panjagutta,269SFV4B,26'',107'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Denim,Mens,
15,South,C,Panjagutta,269SFV9,32'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Athleisure,Mens,
16,South,C,Panjagutta,269GFSV1,20'',55'',Grey Back Self adhesive vinyl with matt lamination,5,4,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
17,South,C,Panjagutta,269SFV3AB,,,,,,,,,,,,,
18,South,C,Panjagutta,269SFV6,28'',107'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Formal,Mens,
19,South,C,Panjagutta,269SFV7,32'',107'',"32"" x 107"" (2 Visuals)",,,,,2,Frontlit,Pillar,Mens Formal,Mens,
20,South,C,Panjagutta,269SFV8AB,32'',107'',,,,,,,,,,,
21,South,C,Panjagutta,269GFV5,Actual,,MP4/JPEG,,,,,0,Digital,Store Entrance,Watches,Non-apps,
22,South,C,Panjagutta,269GFDS1, 192 pixels x 768 pixels ,,MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
23,South,C,Panjagutta,269FFV6,47'',120'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Kids,Kids,
24,South,C,Panjagutta,269FFSV1,20'',55'',Grey Back Self adhesive vinyl with matt lamination,5,4,,,1,Frontlit,Sensomatic,Ladies Western,Ladies,
25,South,C,Panjagutta,269FFDS1,192 pixels x 768 pixels ,,MP4/JPEG,,,,,1,Digital,Store Entrance,Generic,Generic,
26,South,C,Panjagutta,269SFV2,32'',107'',Grey Back Self adhesive vinyl with matt lamination,,2 visuals,,,2,Frontlit,Pillar,Mens Denim,Mens,
27,South,C,Panjagutta,269SFV3A,32'',107'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Denim,Mens,
28,South,C,Panjagutta,269SFV3B,32'',107'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Mens Denim,Mens,
29,South,C,Panjagutta,269SFV8,32'',107'',Grey Back Self adhesive vinyl with matt lamination,,2 visuals,,,2,Frontlit,Pillar,Mens Formal,Mens,
30,South,C,Panjagutta,269SFV10,32'',93'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
31,South,C,Panjagutta,269SFDS1,192 pixels W x 768 pixels ,,MP4/JPEG,,,,,2,Digital,Store Entrance,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,C,Hyd 1,3FFFL1,27'',79'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
2,South,C,Hyd 1,3FFFL2,27'',79'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
3,South,C,Hyd 1,3FFFL3b,27'',79'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Lingerie,Ladies,
4,South,C,Hyd 1,3FFFL4 (2 Visuals),27'',79'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Indian Wear,Ladies,
5,South,C,Hyd 1,3TFFL2,23'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,3,Frontlit,Pillar,Mens Denim,Mens,
6,South,C,Hyd 1,3FTFL2,22'',82'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,4,Frontlit,Pillar,Mens Formal,Mens,
7,South,C,Hyd 1,3FTFL4,22'',82'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,4,Frontlit,Pillar,Mens Formal,Mens,
8,South,C,Hyd 1,3GFFL1,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Fragrance,Beauty,
9,South,C,Hyd 1,3GFFL2,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Watches,Non-apps,
10,South,C,Hyd 1,3GFFL3,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Fragrance,Beauty,
11,South,C,Hyd 1,3GFFL4 (2 Visuals),24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Watches,Non-apps,
12,South,C,Hyd 1,3GFFL5A,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Beauty,Beauty,
13,South,C,Hyd 1,3GFFL5B,Actual,Actual,Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Beauty,Beauty,
14,South,C,Hyd 1,3GFFL6A,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Handbags,Leather,
15,South,C,Hyd 1,3GFFL6B,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Handbags,Leather,
16,South,C,Hyd 1,3GFFL7 (2 Visuals),24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Handbags,Leather,
17,South,C,Hyd 1,3GFFL8A,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Ladies Footwear,Leather,
18,South,C,Hyd 1,3GFFL8B,Actual,Actual,Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Ladies Footwear,Leather,
19,South,C,Hyd 1,3GFFL9,24'',95'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Footwear,Leather,
20,South,C,Hyd 1,3GFSV1,30'',59'',Grey Back Self adhesive vinyl with matt lamination,5,3,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
21,South,C,Hyd 1,3FFFL3a,27'',79'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Lingerie,Ladies,
22,South,C,Hyd 1,3SFFL2,21'',87'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Kids Boy,Kids,
23,South,C,Hyd 1,3SFFL3,21'',87'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Kids Boy,Kids,
24,South,C,Hyd 1,3TFFL1,21'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,3,Frontlit,Pillar,Mens Denim,Mens,
25,South,C,Hyd 1,3TFFL3,07'',08'',Grey Back Self adhesive vinyl with matt lamination,,,,,3,Frontlit,Pillar,Mens Denim,Mens,
26,South,C,Hyd 1,3FTFL1 (2 Visuals),22'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,4,Frontlit,Pillar,Mens Formal,Mens,
27,South,C,Hyd 1,3FTFL3A,22'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,4,Frontlit,Pillar,Ugs,Mens,
28,South,C,Hyd 1,3FTFL3B,Actual,Actual,Grey Back Self adhesive vinyl with matt lamination,,,,,4,Frontlit,Pillar,Ugs,Mens,
,,,,,,,,,,,,,,,,,
1,South,C,Chetpet,6FFV1,26'',87'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Kids,Kids,
2,South,C,Chetpet,6FFV4,88'',91'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
3,South,C,Chetpet,6FFV5,88'',85'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Lingerie,Ladies,
4,South,C,Chetpet,6FFV7,22'',85'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
5,South,C,Chetpet,6SFV3,43'',90'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Kids,Kids,
6,South,C,Chetpet,6SFV7,22'',85'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
7,South,C,Chetpet,6TFV3,54'',75'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Backlit,Pillar,Kids,Kids,
8,South,C,Chetpet,6GFV1,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
9,South,C,Chetpet,6GFV2,33'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Watches,Non-Apps,
10,South,C,Chetpet,6GFV3,51'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Watches,Non-Apps,
11,South,C,Chetpet,6GFV4,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Sunglass,Non-Apps,
12,South,C,Chetpet,6GFV5,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Sunglass,Non-Apps,
13,South,C,Chetpet,6GFV6,24'',95'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
14,South,C,Chetpet,6GFV7,24'',95'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
15,South,C,Chetpet,6GFV8,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
16,South,C,Chetpet,6GFV9,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
17,South,C,Chetpet,6GFV10,40'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
18,South,C,Chetpet,6GFV11,24'',94'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
19,South,C,Chetpet,6GFV12,30'',89'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
,South,C,Chetpet,6GFV13,30'',89'',Backlit Fabric with Silicon Strips,,,,,,,,,,
,South,C,Chetpet,6GFV15,51'',89'',Backlit Fabric with Silicon Strips,,,,,,,,,,
20,South,C,Chetpet,6GFFB1,18'',116'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Facade,Generic,Generic,
21,South,C,Chetpet,6GFFB2,18'',116'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Facade,Generic,Generic,
22,South,C,Chetpet,6GFFB3,51'',117'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Facade,Generic,Generic,
23,South,C,Chetpet,6GFFB4,51'',116'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Facade,Generic,Generic,
24,South,C,Chetpet,6GFFB5,18'',116'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Facade,Generic,Generic,
25,South,C,Chetpet,6GFSV1,Actual,Actual,Translite Flim,,,,,0,Frontlit,Sensomatic,Generic,Generic,
26,South,C,Chetpet,6FFV2,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Kids,Kids,
27,South,C,Chetpet,6FFV6,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Lingerie,Ladies,
28,South,C,Chetpet,6FFV8,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Lingerie,Ladies,
29,South,C,Chetpet,6FFV9,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Lingerie,Ladies,
30,South,C,Chetpet,6FFV11,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
31,South,C,Chetpet,6FFV12,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
32,South,C,Chetpet,6FFV13,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
33,South,C,Chetpet,6FFV14,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
34,South,C,Chetpet,6FFV15,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
35,South,C,Chetpet,6FFV16,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
36,South,C,Chetpet,6FFV17,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
37,South,C,Chetpet,6FFV19,24'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Home,Home,
38,South,C,Chetpet,6FFV20,47'',79'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Kids,Kids,
39,South,C,Chetpet,6SFV1,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
40,South,C,Chetpet,6SFV2,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
41,South,C,Chetpet,6SFV3,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Ugs,Mens,
42,South,C,Chetpet,6SFV5,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
43,South,C,Chetpet,6SFV6,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
44,South,C,Chetpet,6SFV7,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
45,South,C,Chetpet,6SFV8,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
46,South,C,Chetpet,6SFV9,24'',79'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
47,South,C,Chetpet,6SFCC1,140'',33'',Backlit Fabric with Silicon Strips,,,,,2,Backlit,Cash Counter,Mens ,Mens,
48,South,C,Chetpet,6DS01,16:9 Aspect Ratio,,MP4/JPEG,,,,,,Digital,Digital,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,A,Orion,294FB1,136'',89'',ESML,,,,,0,Frontlit,Façade,Generic,Generic,
2,South,A,Orion,294GFW1,68'',122'',GB Vinyl,,,,,0,Frontlit,Window,Generic,Generic,
3,South,A,Orion,294GFW2,"64""","121""",Backlit Fabric,,,,,0,Frontlit,Window,Generic,Generic,
4,South,A,Orion,294SOH1,37'',111'',ESML,,,,,0,Frontlit,Pillar,Ladies Western,Ladies,
5,South,A,Orion,294SOH2,37'',111'',ESML,,,,,,,,,,
6,South,A,Orion,294SOH3,37'',111'',ESML,,,,,,,,,,
7,South,A,Orion,294SOH4,37'',111'',ESML,,,,,,,,,,
8,South,A,Orion,294SOH5,37'',116'',ESML,,,,,,,,,,
9,South,A,Orion,294SOH6A,37'',116'',ESML,,,,,,,,,,
10,South,A,Orion,294SOH6B,37'',116'',ESML,,,,,,,,,,
11,South,A,Orion,294SOH7A,41'',123'',ESML,,,,,,,,,,
12,South,A,Orion,294SOH7B,41'',123'',ESML,,,,,,,,,,
13,South,A,Orion,294SOH8,37'',117'',ESML,,,,,,,,,,
14,South,A,Orion,294SOH9,37'',117'',ESML,,,,,,,,,,
15,South,A,Orion,294SOH10,37'',95'',GB Vinyl,,,,,,,,,,
16,South,A,Orion,294SOH15,39'',57'',GB Vinyl,,,,,,,,,,
17,South,A,Orion,294SOH18,37'',118'',GB Vinyl,,,,,,,,,,
18,South,A,Orion,294SOH19,32'',93'',GB Vinyl,,,,,,,,,,
19,South,A,Orion,294SOH20,40'',120'',GB Vinyl,,,,,,,,,,
20,South,A,Orion,294SOH21,40'',120'',GB Vinyl,,,,,,,,,,
21,South,A,Orion,294SOH24,35'',96'',GB Vinyl,,,,,,,,,,
22,South,A,Orion,294SOH25,35'',95'',GB Vinyl,,,,,,,,,,
23,South,A,Orion,294SOH27,35'',95'',GB Vinyl,,,,,,,,,,
24,South,A,Orion,294SOH28,37'',117'',GB Vinyl,,,,,,,,,,
25,South,A,Orion,294SOH29,37'',95'',GB Vinyl,,,,,,,,,,
26,South,A,Orion,294SV1,24'',53'',VOSB,,,,,,,,,,
27,South,A,Orion,294SV2,24'',53'',VOSB,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,South,A,Cyberabad,54GFCC1,232'',76'',Backlit fabric with silicon strips,,,,,,,,,,
2,South,A,Cyberabad,54GFCC2,232'',74'',Backlit fabric with silicon strips,,,,,,,,,,
3,South,A,Cyberabad,54GFSV2,14'',56'',Translit film,,10,,,,,,,,
4,South,A,Cyberabad,54SOH2,47'',104'',Backlit fabric with silicon strips,,,,,,,,,,
5,South,A,Cyberabad,54SOH3,47'',104'',Backlit fabric with silicon strips,,,,,,,,,,
6,South,A,Cyberabad,54SOH4,46'',103'',Backlit fabric with silicon strips,,,,,,,,,,
7,South,A,Cyberabad,54SOH5,57'',106'',Backlit fabric with silicon strips,,,,,,,,,,
8,South,A,Cyberabad,54SOH6,59'',107'',Backlit fabric with silicon strips,,,,,,,,,,
9,South,A,Cyberabad,54SOH7,Actual,Actual,Backlit fabric with silicon strips,,,,,,,,,,
10,South,A,Cyberabad,54SOH8,Actual,Actual,Backlit fabric with silicon strips,,,,,,,,,,
11,South,A,Cyberabad,54SOH9,Actual,Actual,Backlit fabric with silicon strips,,,,,,,,,,
12,South,A,Cyberabad,54SOH10,Actual,Actual,Backlit fabric with silicon strips,,,,,,,,,,
13,South,A,Cyberabad,54SOH11,31,105,Backlit fabric with silicon strips,,,,,,,,,,
14,South,A,Cyberabad,54SOH12,35.5,104.5,Backlit fabric with silicon strips,,,,,,,,,,
15,South,A,Cyberabad,54SOH13,32.5,106,Backlit fabric with silicon strips,,,,,,,,,,
16,South,A,Cyberabad,54SOH14,Actual,Actual,Backlit fabric with silicon strips,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,South,D,Palladium,331FFV2,53'',123'',ESML,,,,,,,,,,
2,South,D,Palladium,331FFV3,,,,,,,,,,,,,
3,South,D,Palladium,331FFV4,,,,,,,,,,,,,
4,South,D,Palladium,331FFV5,66'',118'',ESML,,,,,,,,,,
5,South,D,Palladium,331FFV6,,,,,,,,,,,,,
6,South,D,Palladium,331FFV7,,,,,,,,,,,,,
7,South,D,Palladium,331FFSV2,21'',56|8,ESML,,,,,,,,,,
