58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
26,South,C,Calicut,262GFSV1,13'',55'',Translite Flim,,,,,0,Frontlit,Sensomatic,Beauty,Beauty,
27,South,C,Calicut,262GFSV2,13'',55'',Translite Flim,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps,
28,South,C,Calicut,262GFV12,60'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Stairway,Kids Boy,Kids,
,,,,,,,,,,,,,,,,,
1,South,C,Lulu Trivandrum,851GFV2,30'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
2,South,C,Lulu Trivandrum,851GFV3,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
3,South,C,Lulu Trivandrum,851GFV4,"38""","142""",Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
4,South,C,Lulu Trivandrum,851GFV5,38'',142'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
5,South,C,Lulu Trivandrum,851GFV6,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
6,South,C,Lulu Trivandrum,851GFV7,37'',107'',Backlit Fabric with Silion Strip,,,,,0,Backlit,Pillar,Footwear,Leather,
7,South,C,Lulu Trivandrum,851GFV8,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
8,South,C,Lulu Trivandrum,851GFV9,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
9,South,C,Lulu Trivandrum,851GFV10,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Indian Wear,Ladies,
10,South,C,Lulu Trivandrum,851GFV11,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Luggage,Leather,
11,South,C,Lulu Trivandrum,851GFV12,24'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
12,South,C,Lulu Trivandrum,851GFV13,24'',104'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Kids,Kids,
13,South,C,Lulu Trivandrum,851GFV14,36'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
14,South,C,Lulu Trivandrum,851GFSV1,17'',52'',Translite Flim,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps,
15,South,C,Lulu Trivandrum,851GFSV2,17'',52'',Translite Flim,,,,,0,Frontlit,Sensomatic,Beauty,Beauty,
16,South,C,Lulu Trivandrum,851FFV1,24'',103'',Backlit Fabric with Silion Strips,,,,,,,,,,
17,South,C,Lulu Trivandrum,851FFV2,24'',103'',Backlit Fabric with Silion Strips,,,,,,,,,,
18,South,C,Lulu Trivandrum,851FFV4,128'',107'',Backlit Fabric with Silion Strips,,,,,,,,,,
19,South,C,Lulu Trivandrum,851FFV5,24'',103'',Backlit Fabric with Silion Strips,,,,,,,,,,
20,South,C,Lulu Trivandrum,851GFCC1,181'',112'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps,
21,South,C,Lulu Trivandrum,851FFSV1,13'',55'',,,,,,,,,,,
22,South,C,Lulu Trivandrum,851GFV1,30'',105'',Backlit Fabric with Silion Strips,,,,,0,backlit,Pillar,Sunglass,Non-apps,
23,South,C,Lulu Trivandrum,851DS01,Actual,Actual,MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,B,Kochi,8530GFV1,47'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
2,South,B,Kochi,8530GFV2,39'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
3,South,B,Kochi,8530GFV3,41'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Bags,Leather,
4,South,B,Kochi,8530GFV4,42'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
5,South,B,Kochi,8530GFV5,36'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
6,South,B,Kochi,8530GFV6,36'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
7,South,B,Kochi,8530GFV7,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
8,South,B,Kochi,8530GFV8,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
9,South,B,Kochi,8530GFV9,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
10,South,B,Kochi,8530GFV10,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
11,South,B,Kochi,8530GFV11,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
12,South,B,Kochi,8530GFV12,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
13,South,B,Kochi,8530GFV13,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
14,South,B,Kochi,8530GFV14,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
15,South,B,Kochi,8530GFV15,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
16,South,B,Kochi,8530GFV16,43'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
17,South,B,Kochi,8530GFV17,47'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
18,South,B,Kochi,8530GFV18,41'',130'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
19,South,B,Kochi,8530GFV19,39'',128'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
20,South,B,Kochi,8530GFV19-1,47'',130'',Backlit Fabric with Silion Strips,,,,,,,,,,
21,South,B,Kochi,8530GFV20,33'',133'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Ethnic,Ladies,
22,South,B,Kochi,8530FFV1,41'',127'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
23,South,B,Kochi,8530FFV2,29'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
24,South,B,Kochi,8530FFV3,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ugs,Mens,
25,South,B,Kochi,8530FFV4,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Footwear,Leather,
26,South,B,Kochi,8530FFV5,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
27,South,B,Kochi,8530FFV6,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
28,South,B,Kochi,8530FFV7,36'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
29,South,B,Kochi,8530FFV8,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
30,South,B,Kochi,8530FFV9,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
31,South,B,Kochi,8530FFV10,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Formal,Mens,
32,South,B,Kochi,8530FFV11,35'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
33,South,B,Kochi,8530FFV12,36'',133'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Mens Denim,Mens,
34,South,B,Kochi,8530FFCC1,139'',82'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Mens,Mens,
35,South,B,Kochi,8530GFCC1,102'',83'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Generic,Generic,
36,South,B,Kochi,8530GFSV1,Actuals,Actuals,Backlit Fabric with Silion Strips,,,,,0,Backlit,Sensomatic,Beauty,Beauty,
37,South,B,Kochi,8530FFV13,47.5,102.5,Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Generic,Generic,
38,South,B,Kochi,8530FFSV1,Actuals,Actuals,Backlit Fabric with Silion Strips,,,,,0,Backlit,Sensomatic,Generic,Generic,
39,South,B,Kochi,8530DS01,Actuals,Actuals,Backlit Fabric with Silion Strips,,,,,0,Digital,Digital,Generic,Generic,
40,South,B,Kochi,8530DS02,Actuals,Actuals,Backlit Fabric with Silion Strips,,,,,0,Digital,Digital,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,B,Prestige Kanakpura,8523GFV7,36'',135'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
2,South,B,Prestige Kanakpura,8523DS01,Actuals,Actuals,MP4/JPEG,,,,,-1,Digital,Digital,Generic,Generic,
3,South,B,Prestige Kanakpura,8523DS02,Actuals,Actuals,MP4/JPEG,,,,,0,Digital,Digital,Generic,Generic,
4,South,B,Prestige Kanakpura,8523FFCC1,103'',76'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Cash Counter,Mens,Mens,
5,South,B,Prestige Kanakpura,8523FFSV1,16'',56'',Translite Flim Qty-6,,,,,1,Frontlit,Sensomatic,Mens,Mens,
6,South,B,Prestige Kanakpura,8523FFV1,36'',103'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Ugs,Mens,
7,South,B,Prestige Kanakpura,8523GFFB4,96'',93'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Façade,Generic,Generic,
8,South,B,Prestige Kanakpura,8523FFV2,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Footwear,Leather,
9,South,B,Prestige Kanakpura,8523FFV3,35'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Footwear,Leather,
10,South,B,Prestige Kanakpura,8523FFV4,40'',106'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Mens Denim,Mens,
11,South,B,Prestige Kanakpura,8523FFV5,23.42”,101.96'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
