,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
87,West,A,Andheri,1LD8,146'',86'',ESML,,1,87.19444444,,3,Frontlit,Stairway,Home,Home,,
88,West,A,Andheri,1LD9 (Scaffolding),179'',65'',ESML,,1,80.79861111,,3,Frontlit,Stairway,Home,Home,,
89,West,A,Andheri,1GFSV1,24'',60'',VOSB 5mm,"9""",2,10,,0,Frontlit,Sensomatic,Non-apps,Non-apps,,
90,West,A,Andheri,1GFSV2,23'',60'',VOSB 5mm,"6""",2,9.583333333,,0,Frontlit,Sensomatic,Beauty,Beauty,P2,
91,West,A,Andheri,1FB1,7',40',Star Flex,,1,1.944444444,,1,Frontlit,Façade,Generic,Generic,,
92,West,A,Andheri,1FB2 | B3 | B4,40',10',Star Flex (40x10 print size | 38x9 creative siz),,1,2.777777778,,1,Frontlit,Façade,Generic,Generic,,
93,West,A,Andheri,1FB2,"12' + bleed 6"" each","9' + 6"" bleed both sides",Star Flex,,1,0.75,,,,,,,,
94,West,A,Andheri,1FB3,,,,,,,,,,,,,,
95,West,A,Andheri,1FB4,,,,,,,,,,,,,,
96,West,A,Andheri,1GFW1,168'',96'',ESML,0,1,112,,1,Backlit,Window,Generic,Generic,,
97,West,A,Andheri,1GFW2,214'',78'',Flex,,1,115.9166667,,1,Frontlit,Window,Fragrance,Beauty,P1,
98,West,A,Andheri,1GFW3,225'',79'',ESML,,1,123.4375,,1,Frontlit,Window,Generic,Generic,,
,,,,,,,,,,,,,,,,,,
1,West,A,Ahmedabad,51GFV9,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,0,Backlit,Pillar,Ladies Western,Ladies,,
2,West,A,Ahmedabad,51GFV15,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,0,Backlit,Pillar,Ladies Western,Ladies,,
3,West,A,Ahmedabad,51GFW1,124'',126'',Backlit Fabric with silicon strips,,1,108.0625,,0,Frontlit,Window,Fragrance,Beauty,,
4,West,A,Ahmedabad,51FFV2,53'',120'',Backlit Fabric with silicon strips,,1,44.16666667,,1,Backlit,Pillar,Indian Wear,Ladies,,
5,West,A,Ahmedabad,51FFV3,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,1,Backlit,Pillar,Indian Wear,Ladies,,
6,West,A,Ahmedabad,51FFV5,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,1,Backlit,Pillar,Indian Wear,Ladies,,
7,West,A,Ahmedabad,51FFV6,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
8,West,A,Ahmedabad,51FFV12,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,1,Backlit,Pillar,Mens Denim,Mens,,
9,West,A,Ahmedabad,51FB2,83'',109'',Backlit Fabric with silicon strips,,1,62.46284722,,1,Backlit,Façade,Generic,Generic,,
10,West,A,Ahmedabad,51FFCC1,205'',82'',Backlit Fabric with silicon strips,,1,115.7413194,,1,Backlit,Cash Counter,Mens,Mens,,
