f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
47,East,A,Kol 2,15GFW8,166'',88'',FLEX,,1,101.4444444,,0,Frontlit,Window,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,A,Kol 3,28GFSOH11,76'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,53.30555556,,0,Frontlit,Pillar,Ladies Western,Ladies
2,East,A,Kol 3,28GFSOH1,34'',96'',ESML,,1,,,,,,,
3,East,A,Kol 3,28GFSOH12,33'',93'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20.87673611,,0,Frontlit,Pillar,Ladies Western,Ladies
4,East,A,Kol 3,28GFSOH13,35'',95'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.09027778,,0,Frontlit,Pillar,Ladies Western,Ladies
5,East,A,Kol 3,28GFSOH14,37'',143'',Eco Solvent Self adhesive vinyl with matt lamination,,1,36.74305556,,0,Frontlit,Pillar,Ladies Western,Ladies
6,East,A,Kol 3,28GFSOH16A,33'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.14583333,,0,Frontlit,Pillar,Kids Infant,Kids
7,East,A,Kol South City,28GFSOH18,34'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.08333333,,0,Frontlit,Pillar,Generic,Generic
8,East,A,Kol South City,28FFSOH10,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.5,,1,Frontlit,Pillar,Mens Denim,Mens
9,East,A,Kol South City,28FFSOH14,40'',96'',VOSB,,1,26.33333333,,1,Frontlit,Pillar,Mens Formal,Mens
10,East,A,Kol South City,28GFSOH16,33'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.14583333,,0,Frontlit,Pillar,Kids Infant,Kids
11,East,A,Kol 3,28GFSOH19,34'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.84722222,,0,Frontlit,Pillar,Generic,Generic
12,East,A,Kol 3,28GFSOH20,25'',95'',Eco Solvent Self adhesive vinyl with matt lamination,,1,16.49305556,,0,Frontlit,Pillar,Kids,Kids
13,East,A,Kol 3,28FFSOH11,33'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.14583333,,1,Frontlit,Pillar,Mens Athleisure,Mens
14,East,A,Kol 3,28FFSOH12,33'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.14583333,,1,Frontlit,Pillar,Mens Athleisure,Mens
15,East,A,Kol 3,28FFSOH13,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.375,,1,Frontlit,Pillar,Mens Athleisure,Mens
16,East,A,Kol 3,28ODW5,120'',108'',FLEX,,1,90,,0,Frontlit,Window,Generic,Generic
17,East,A,Kol 3,28ODW6,10',9',FLEX,,1,0.625,,0,Frontlit,Window,Generic,Generic
18,East,A,Kol 3,28ODW7,120'',108'',FLEX,3'' bleed,1,90,,0,Frontlit,Window,Generic,Generic
19,East,A,Kol 3,28ODW8,120'',108'',FLEX,,1,90,,0,Frontlit,Window,Generic,Generic
20,East,A,Kol South City,28ESC1,151'',104'',Grey Back Vinyl ,,1,109.0555556,,1,Frontlit,Stairway,Generic,Generic
21,East,A,Kol 3,28FFSV1,16'',56''  [ 10'']gap below,ESML,"7""",14,#VALUE!,,1,Frontlit,Sensomatic,Mens,Mens
22,East,A,Kol 3,28ODW1,98”,121” [ w-2 - small ],FLEX,,1,,,,,,,
23,East,A,Kol 3,28ODW2,150''  ,122 [ w- 1- Big Window,FLEX,,1,,,0,Frontlit,Window,Fragrance,Beauty
24,East,A,Kol 3,28ODW3,123'',108'',FLEX,,1,92.25,,0,Frontlit,Window,Generic,Generic
25,East,A,Kol 3,28ODW9,09'',93'',FLEX,,1,5.8125,,0,Frontlit,Window,Generic,Generic
26,East,A,Kol 3,28GFSOH1,"34""","96""",Eco Solvent Self adhesive vinyl with matt lamination,,1,#VALUE!,,0,Frontlit,Pillar,Fragrance,Beauty
27,East,A,Kol 3,28GFSOH2,25'',95'',Eco Solvent Self adhesive vinyl with matt lamination,,1,16.49305556,,0,Frontlit,Pillar,Fragrance,Beauty
28,East,A,Kol 3,28GFSOH3,33'',95'',VINYL ,,1,21.77083333,,0,Frontlit,Pillar,Non-apps,Non-apps
