f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
2,East,C,Rourkela,8507GFV7,33'',112'',Backlit Fabric with silicon strip ,,1,#VALUE!,,0,Backlit ,Pillar,Beauty,Beauty
3,East,C,Rourkela,8507SFV2,35'',102'',Backlit Fabric with silicon strip ,,1,24.79166667,,2,Backlit ,Pillar,Mens Denim,Mens
4,East,C,Rourkela,8507GFV1,,,,,,,,0,Backlit ,Pillar,Ladies Western,Ladies
5,East,C,Rourkela,8507GFV2,72'',112'',Backlit Fabric with silicon strip ,,1,55.61111111,,0,Backlit ,Pillar,Beauty,Beauty
6,East,C,Rourkela,8507GFV3,37'',113'',Backlit Fabric with silicon strip ,,1,28.93150764,,0,Backlit ,Pillar,Ladies Western,Ladies
7,East,C,Rourkela,8507GFV4,29'',102'',Backlit Fabric with silicon strip ,,1,20.7759125,,0,Backlit ,Pillar,Lingerie,Ladies
8,East,C,Rourkela,8507GFV5,33'',111'',Backlit Fabric with silicon strip ,,1,25.53313125,,0,Backlit ,Pillar,Ladies Western,Ladies
9,East,C,Rourkela,8507GFV8,33'',111'',Backlit Fabric with silicon strip ,,1,25.4375,,0,Backlit ,Pillar,Watches,Non-apps
10,East,C,Rourkela,8507GFV9,29'',102'',Backlit Fabric with silicon strip ,,1,20.69225833,,0,Backlit ,Pillar,Women Athleisure,Ladies
11,East,C,Rourkela,8507GFV10,42'',112'',Backlit Fabric with silicon strip ,,1,32.66666667,,0,Backlit ,Pillar,Fragrance,Beauty
12,East,C,Rourkela,8507GFV11,35'',102'',Backlit Fabric with silicon strip ,,1,24.79166667,,0,Backlit ,Pillar,Sunglass,Non-apps
13,East,C,Rourkela,8507GFCC1,,,,,,,,0,Backlit ,Cash Counter,Non-apps,Non-apps
14,East,C,Rourkela,8507GFSV1,15'',56'',Translit film,,12,5.872222222,,0,Frontlit,Sensomatic,Beauty,Beauty
15,East,C,Rourkela,8507FFV1,29'',102'',Backlit Fabric with silicon strip ,,1,20.54166667,,1,Backlit ,Pillar,Kids,Kids
16,East,C,Rourkela,8507FFV2,29'',102'',Backlit Fabric with silicon strip,,1,20.77541667,,1,Backlit ,Pillar,Kids,Kids
17,East,C,Rourkela,8507FFV3,29'',102'',Backlit Fabric with silicon strip ,,1,20.77541667,,1,Backlit ,Pillar,Indian Wear,Ladies
18,East,C,Rourkela,8507FFV4,29'',102'',Backlit Fabric with silicon strip ,,1,20.77541667,,1,Backlit ,Pillar,Home,Home
19,East,C,Rourkela,8507FFV5,29'',102'',Backlit Fabric with silicon strip ,,1,20.66435,,1,Backlit ,Pillar,Indian Wear,Ladies
20,East,C,Rourkela,8507FFCC1,89'',64'',Backlit Fabric with silicon strip,,1,39.40890084,,1,Backlit ,Cash Counter,Ladies,Ladies
21,East,C,Rourkela,8507FFBL1,101'',75'',Backlit Fabric with silicon strip,,1,52.4934375,,1,Backlit ,Façade,Ladies,Ladies
22,East,C,Rourkela,8507FFSV1,,,,,,,,1,Frontlit,Sensomatic,Ladies,Ladies
23,East,C,Rourkela,8507SFV1,35'',102'',Backlit Fabric with silicon strip,,1,24.79166667,,2,Backlit ,Pillar,Mens Ethnic,Mens
24,East,C,Rourkela,8507SFV3,35'',122'',Backlit Fabric with silicon strip,,1,29.65277778,,2,Backlit ,Pillar,Mens Denim,Mens
25,East,C,Rourkela,8507SSV4,35'',102'',Backlit Fabric with silicon strip,,1,24.79166667,,2,Backlit ,Pillar,Mens Denim,Mens
26,East,C,Rourkela,8507SFV5,29'',102'',Backlit Fabric with silicon strip ,,1,20.54166667,,2,Backlit ,Pillar,Mens Denim,Mens
27,East,C,Rourkela,8507SFCC1,114'',63'',Backlit Fabric with silicon strip ,,1,50.25527924,,2,Backlit ,Cash Counter,Mens,Mens
28,East,C,Rourkela,8507SFBL1,101'',75'',Backlit Fabric with silicon strip ,,1,52.63062035,,2,Backlit ,Façade,Mens,Mens
29,East,C,Rourkela,8507SFSV1,"15.1""","56""",Translite Flim,,8,,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,C,Ranchi 2,8502FFV2,22'',102'',Backlit Fabric with silicon strip ,,1,15.58333333,,1,Backlit,Pillar,Lingerie,Ladies
2,East,C,Ranchi 2,8502GFV1,35'',112'',Backlit Fabric with silicon strip ,,1,26.71354167,,0,Backlit,Pillar,Mens Footwear,Leather
3,East,C,Ranchi 2,8502GFV2,48'',103'',Backlit Fabric with silicon strip ,,1,33.81076389,,0,Backlit,Pillar,Watches,Non-apps
4,East,C,Ranchi 2,8502GFCC1,126'',59'',Backlit Fabric with silicon strip ,,1,51.63802083,,0,Backlit,Cash Counter,Non-apps,Non-apps
5,East,C,Ranchi 2,8502FFV1,22'',102'',Backlit Fabric with silicon strip ,,1,15.58333333,,1,Backlit,Pillar,Kids,Kids
6,East,C,Ranchi 2,8502FFV3,48'',103'',Backlit Fabric with silicon strip ,,1,33.81076389,,1,Backlit,Pillar,Ladies Western,Ladies
7,East,C,Ranchi 2,8502FFV4,36'',102'',Backlit Fabric with silicon strip ,,1,25.5,,1,Backlit,Pillar,Ladies Western,Ladies
8,East,C,Ranchi 2,8502FFV5,36'',102'',Backlit Fabric with silicon strip ,,1,25.5,,1,Backlit,Pillar,Women Athleisure,Ladies
9,East,C,Ranchi 2,8502FFCC1,126'',71'',Backlit Fabric with silicon strip ,,1,61.87847222,,1,Backlit,Cash Counter,Ladies,Ladies
10,East,C,Ranchi 2,8502SFV1,36'',103'',Backlit Fabric with silicon strip ,,1,25.26909722,,2,Backlit,Pillar,Mens Formal,Mens
11,East,C,Ranchi 2,8502SFV2,48'',105'',Backlit Fabric with silicon strip ,,1,34.47048611,,2,Backlit,Pillar,Mens Denim,Mens
12,East,C,Ranchi 2,8502SFCC1,126'',71'',Backlit Fabric with silicon strip ,,1,61.87847222,,2,Backlit,Cash Counter,Mens,Mens
13,East,C,Ranchi 2,8502GFSV1,20'' d5'',64'',VOSB 5mm,5,2,#VALUE!,,0,Frontlit,Sensomatic,Beauty,Beauty
14,East,C,Ranchi 2,8502FFSV1,17'',48'',Backlit Fabric with silicon strip ,2,1,5.666666667,,1,Frontlit,Sensomatic,Ladies,Ladies
15,East,C,Ranchi 2,8502SFSV1,17'',28'',Translit Film ,,1,3.305555556,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,B,Ranchi,312GFSOH3,32'',108'',ESML,,1,24,,0,Frontlit,Pillar,Mens Footwear,Leather
2,East,B,Ranchi,312GFSOH9,36'',106'',Backlit Fabric with silicon strip,,1,26.5,,0,Backlit,Pillar,Beauty,Beauty
3,East,B,Ranchi,312GFSOH2,33'',107'',Black Back Back Viny + matt lamination,,1,24.31277778,,0,Frontlit,Pillar,Sunglass,Non-apps
4,East,B,Ranchi,312SFSOH2,32'',107'',ESML,,1,23.77777778,,2,Frontlit,Pillar,Mens Denim,Mens
5,East,B,Ranchi,312GFSOH1,32'',107'',ESML,,1,23.77777778,,0,Frontlit,Pillar,Watches,Non-apps
6,East,B,Ranchi,312GFSOH4,32'',107'',ESML,,1,23.77777778,,0,Frontlit,Pillar,Indian Wear,Ladies
7,East,B,Ranchi,312GFSOH5,32'',107'',ESML,,1,23.77777778,,0,Frontlit,Pillar,Indian Wear,Ladies
8,East,B,Ranchi,312GFSOH6,32'',107'',ESML,,1,23.77777778,,0,Frontlit,Pillar,Indian Wear,Ladies
9,East,B,Ranchi,312GFSOH7,89'',92'',ESML,,1,56.86111111,,0,Frontlit,Cash Counter,Non-apps,Non-apps
10,East,B,Ranchi,312GFSOH8,37'',105'',Backlit Fabric with silicon strip,,1,26.48784722,,0,Backlit,Pillar,Watches,Non-apps
11,East,B,Ranchi,312GFSV1,,,ACTUAL,,,,,0,Frontlit,Pillar,Non-apps,Non-apps
12,East,B,Ranchi,312FFSOH1,32'',107'',Grey back self adhesive vinyl with matt lamination,,1,23.77777778,,1,Frontlit,Pillar,Ladies Western,Ladies
13,East,B,Ranchi,312FFSOH2,32'',107'',Grey back self adhesive vinyl with matt lamination,,1,23.77777778,,1,Frontlit,Pillar,Ladies Western,Ladies
14,East,B,Ranchi,312FFSOH3,,,ACTUAL,,,,,1,Frontlit,Pillar,Ladies Western,Ladies
15,East,B,Ranchi,312FFSOH5,32'',106'',ACTUAL,,1,23.1875,,1,Frontlit,Pillar,Ladies Western,Ladies
16,East,B,Ranchi,312FFSOH6,,,ACTUAL,,,,,1,Frontlit,Pillar,Kids,Kids
17,East,B,Ranchi,312FFSOH7,25'',108'',ESML,,1,18.75,,1,Frontlit,Pillar,Lingerie,Ladies
18,East,B,Ranchi,312FFSOH8,94'',87'',ESML,,1,56.79166667,,1,Frontlit,Pillar,Ladies,Ladies
19,East,B,Ranchi,312FFSOH10,32'',107'',ESML,,1,23.77777778,,1,Frontlit,Pillar,Kids,Kids
20,East,B,Ranchi,312FFW1,116'',106'',ESML,,1,85.38888889,,1,Frontlit,Window,Ladies,Ladies
21,East,B,Ranchi,312FFW2,90'',107'',Grey back self adhesive vinyl with matt lamination,,1,66.875,,1,Frontlit,Window,Ladies,Ladies
22,East,B,Ranchi,312FFSV1,32'',57'',VOSB,9.5,5,12.66666667,,1,Frontlit,Sensomatic,Ladies,Ladies
23,East,B,Ranchi,312SFSOH1,32'',107'',ESML,,1,23.77777778,,2,Frontlit,Pillar,Mens Formal,Mens
24,East,B,Ranchi,312SFSOH3,32'',107'',ESML,,1,23.77777778,,2,Frontlit,Pillar,Mens Denim,Mens
25,East,B,Ranchi,312SFSOH4,32'',107'',ESML,,1,23.77777778,,2,Frontlit,Pillar,Mens Denim,Mens
26,East,B,Ranchi,312SFW1,173'',106'',ESML,,1,127.3472222,,2,Frontlit,Window,Mens,Mens
27,East,B,Ranchi,312SFW2,132'',107'',ESML,,1,98.08333333,,2,Frontlit,Window,Mens,Mens
28,East,B,Ranchi,312SFSV1,32'',64'',VOSB,,1,14.2,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,D,Patna,8514GFV9,63'',102'',Backlit Fabric with silicon ,,1,44.44791667,,0,Backlit,Pillar,Ladies Western,Ladies
2,East,D,Patna,8514SFV6,24'',103'',Backlit Fabric with silicon ,,1,16.72743056,,2,Backlit,Pillar,Mens Athleisure,Mens
3,East,D,Patna,8514GFCC1,113'',64'',Backlit Fabric with silicon ,,1,50.22222222,,0,Backlit,Cash Counter,Ladies Western,Ladies
4,East,D,Patna,8514GFV6,78'',100'',Backlit Fabric with silicon ,,1,54.16666667,,0,Backlit,Pillar,Fragrance,Beauty
5,East,D,Patna,8514GFV5,81'',101'',Backlit Fabric with silicon ,,1,56.8125,,0,Backlit,Pillar,Beauty,Beauty
6,East,D,Patna,8514SFMV2,09'',06'',Backlit Fabric with silicon ,,1,0.3777777778,,2,Backlit,Façade,Mens ,Generic
7,East,D,Patna,8514FFV4,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Luggage,Leather
8,East,D,Patna,8514SFV5,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,2,Backlit,Pillar,Mens Denim,Mens
9,East,D,Patna,8514GFV1,24'',100'',Backlit Fabric with silicon ,,1,16.31944444,,0,Backlit,Pillar,Women Athleisure,Ladies
10,East,D,Patna,8514GFV2,,,ACTUAL,,,,,0,Backlit,Pillar,Watches,Non-apps
11,East,D,Patna,8514GFV3,"23.5""","103""",Backlit Fabric with Silion Strips,,1,,,0,Backlit,Pillar,Ladies Western,Ladies
12,East,D,Patna,8514GFV4,,,ACTUAL,,,,,0,Backlit,Pillar,Watches,Non-apps
13,East,D,Patna,8514GFV7,37'',100'',Backlit Fabric with silicon ,,1,25.69444444,,0,Backlit,Pillar,Non-apps,Non-apps
14,East,D,Patna,8514GFV8,24'',100'',Backlit Fabric with silicon ,,1,16.36024306,,0,Backlit,Pillar,Handbags,Leather
15,East,D,Patna,8514FFV1,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Indian Wear,Ladies
16,East,D,Patna,8514FFV2,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Indian Wear,Ladies
17,East,D,Patna,8514FFV3,,,ACTUAL,,,,,1,Backlit,Pillar,Home,Home
18,East,D,Patna,8514FFV5,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Home,Home
19,East,D,Patna,8514FFV6,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Ladies Western,Ladies
20,East,D,Patna,8514FFV7,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,1,Backlit,Pillar,Lingerie,Ladies
21,East,D,Patna,8514FFCC1,,,ACTUAL,,,,,1,Backlit,Cash Counter,Indian Wear,Generic
22,East,D,Patna,8514SFV1,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,2,Backlit,Pillar,Mens Formal,Mens
23,East,D,Patna,8514SFV2,24'',102'',Backlit Fabric with silicon ,,1,16.68663194,,2,Backlit,Pillar,Mens Formal,Mens
24,East,D,Patna,8514SFV3,,,ACTUAL,,,,,2,Backlit,Pillar,Mens Denim,Mens
25,East,D,Patna,8514SFV4,,,ACTUAL,,,,8507GFSV1,2,Backlit,Pillar,Mens Denim,Mens
26,East,D,Patna,8514SFV7,,,ACTUAL,,,,,2,Backlit,Pillar,Mens Denim,Mens
27,East,D,Patna,8514SFV8,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
28,East,D,Patna,8514SFV9,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
29,East,D,Patna,8514SFV10,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
30,East,D,Patna,8514SFV11,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
31,East,D,Patna,8514SFV12,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
32,East,D,Patna,8514SFV13,,,ACTUAL,,,,,2,Backlit,Pillar,Kids,Kids
33,East,D,Patna,8514SFV14,,,ACTUAL,,,,,2,Backlit,Pillar,Mens Formal,Mens
34,East,D,Patna,8514SFV15,,,ACTUAL,,,,,2,Backlit,Pillar,Mens Formal,Mens
35,East,D,Patna,,,,,,,,,2,Backlit,Pillar,Mens Formal,Mens
36,East,D,Patna,8514SFCC1,,,ACTUAL,,,,,2,Backlit,Cash Counter,Mens Denim,Mens
37,East,D,Patna,8514GFSV1,,,ACTUAL,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps
38,East,D,Patna,8514GFSV2,20'' D8'',65'',VOSB,,,#VALUE!,,0,Frontlit,Sensomatic,Beauty,Beauty
39,East,D,Patna,8514FFSV1,,,ACTUAL,,,,,1,Frontlit,Sensomatic,Ladies,Ladies
40,East,D,Patna,8514FFSV2,,,ACTUAL,,,,,1,Frontlit,Sensomatic,Ladies,Ladies
41,East,D,Patna,8514SFSV1,18'',66'',VOSB,"6""",4,8.25,,2,Frontlit,Sensomatic,Mens,Mens
42,East,D,Patna,8514SFSV2,,,ACTUAL,,,,,2,Frontlit,Sensomatic,Mens,Mens
43,East,D,Patna,8514FFMV1,9',7',Backlit Fabric with silicon strip ,,1,0.3881944444,,1,Backlit,Façade,Ladies,Generic
44,East,D,Patna,8514SFMV1,9',7',Backlit Fabric with silicon strip ,,1,0.3881944444, ,2,Backlit,Façade,Mens ,Generic
45,East,D,Patna,8514SFMV3,8',6',Backlit Fabric with silicon strip ,,1,0.3688888889,,2,Backlit,Façade,Mens ,Generic
,,,,,,,,,,,,,,,,
1,East,A,Guwahati,314FFV1,32'',130'',Backlit Fabric with silicon strip ,,1,28.4375,,1,Backlit,Pillar,Indian Wear,Ladies
2,East,A,Guwahati,314SFV2,32'',112'',Backlit Fabric with silicon strip ,,1,24.5,,2,Backlit,Pillar,Mens Denim,Mens
3,East,A,Guwahati,314FFV3,48'',96'',Backlit Fabric with silicon strip ,,1,32,,1,Backlit,Pillar,Ladies,Ladies
4,East,A,Guwahati,314SFCP1,164'',76'',Backlit Fabric with silicon strip ,,1,86.55555556,,1,Backlit,Cash Counter,Mens Denim,Mens
5,East,A,Guwahati,314GFSV2,16'',53'',Translit Film ,,2,5.704861111,,0,Frontlit,Sensomatic,Non-apps,Non-apps
6,East,A,Guwahati,314GFSV1,16'',55'',Translit Film ,,10pc,6.1875,,0,Frontlit,Sensomatic,Beauty,Beauty
7,East,A,Guwahati,314GFV1,53'',101'',Backlit Fabric with silicon strip ,,1,37.17361111,,0,Backlit,Pillar,Sunglass,Non-apps
8,East,A,Guwahati,314GFV2,53'',101'',Backlit Fabric with silicon strip ,,1,37.17361111,,0,Backlit,Pillar,Watches,Non-apps
9,East,A,Guwahati,314GFV3,53'',101'',Backlit Fabric with silicon strip ,,1,37.33823056,,0,Backlit,Pillar,Handbags,Leather
10,East,A,Guwahati,314GFV4,,,ACTUAL,,,,,0,Backlit,Pillar,Non-apps,Non-apps
11,East,A,Guwahati,314GFV5,,,ACTUAL,,,,,0,Backlit,Pillar,Sunglass,Non-apps
12,East,A,Guwahati,314GFV6,,,ACTUAL,,,,,0,Backlit,Pillar,Non-apps,Non-apps
13,East,A,Guwahati,314GFCP1,,,ACTUAL,,,,,0,Backlit,Cash Counter,Generic,Generic
14,East,A,Guwahati,314GFW2,,,ACTUAL,,,,,0,Backlit,Window,Generic,Generic
15,East,A,Guwahati,314GFW3,133'',96'',Backlit Fabric with silicon strip ,,1,88.33333333,,0,Backlit,Window,Generic,Generic
16,East,A,Guwahati,314FFV2,,,ACTUAL,,,,,1,Backlit,Pillar,Indian Wear,Ladies
17,East,A,Guwahati,314FFCP1,164'',74'',Backlit Fabric with silicon strip ,,1,84.27777778,,1,Backlit,Cash Counter,Ladies,Ladies
18,East,A,Guwahati,314FFSV1,16'',55'',ESML,,4,5.866319444,,1,Frontlit,Sensomatic,Ladies,Ladies
19,East,A,Guwahati,314SFV1,32'',112'',Backlit Fabric with silicon strip ,,1,24.5,,2,Backlit,Pillar,Mens Denim,Mens
20,East,A,Guwahati,314SFV3,112'',112'',Backlit Fabric with silicon strip ,,,87.11111111,,2,Backlit,Pillar,Mens Denim,Mens
21,East,A,Guwahati,314SFSV1,40'',139'',Translit Film ,,5,37.99131944,,2,Frontlit,Sensomatic,Mens,Mens
22,East,A,Guwahati,314FB1,312'',96'',Grey back vinyl ,,1,208,,1,Frontlit,Façade,Generic,Generic
23,East,A,Guwahati,314FB2,90'',384'',ESML,,,240,,1,Frontlit,Façade,Generic,Generic
24,East,A,Guwahati,314FB3,20',8',Grey back vinyl ,,1,1.111111111,,1,Frontlit,Façade,Generic,Generic
25,East,A,Guwahati,314DTH1,,,ACTUAL,,,,,1,Digital,Façade,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,D,Bhubaneshwar,359GFW3,108'',96'',Backlit Fabric with silicon strip,,1,72,,0,Backlit,Window,Generic,Generic
2,East,D,Bhubaneswar,359GFCC1,95'',47'',Backlit Fabric with silicon strip,,1,31.00694444,,0,Backlit,Cash Counter,Non-apps,Non-apps
3,East,D,Bhubaneshwar,359GFW4,108'',96'',Backlit fabric with silicon strip,,1,,,0,Backlit,Window,Beauty,Beauty
4,East,D,Bhubaneswar,359GFSV1,16'',55'',Translit Film ,,6,6.111111111,,0,Frontlit,Sensomatic,Fragrance,Beauty
5,East,D,Bhubaneswar,359GFSOH1,52'',108'',SB vinyl ,,1,39,,0,Backlit,Pillar,Watches,Non-apps
6,East,D,Bhubaneswar,359GFW1,108'',96'',Backlit Fabric with silicon strip,,1,72,,0,Backlit,Window,Generic,Generic
7,East,D,Bhubaneswar,359GFW2,108'',96'',Backlit Fabric with silicon strip,,1,72,,0,Backlit,Window,Generic,Generic
8,East,D,Bhubaneswar,359FFW1,72'',84'',Backlit Fabric with silicon strip,,1,42,,1,Backlit,Façade,Ladies,Ladies
9,East,D,Bhubaneswar,359FFW2,72'',84'',Backlit Fabric with silicon strip,,1,42,,1,Backlit,Façade,Ladies,Ladies
10,East,D,Bhubaneswar,359FFSV1,16'',55'',Translit Film ,,6,6.111111111,,1,Frontlit,Sensomatic,Ladies,Ladies
11,East,D,Bhubaneswar,359SFW1,72'',84'',Backlit Fabric with silicon strip,,1,42,,2,Backlit,Façade,Mens,Mens
12,East,D,Bhubaneswar,359SFW2,72'',84'',Backlit Fabric with silicon strip,,1,42,,2,Backlit,Façade,Mens,Mens
13,East,D,Bhubaneswar,359SFCP1,96'',48'',Backlit Fabric with silicon strip,,1,32,,2,Backlit,Cash Counter,Mens,Mens
14,East,D,Bhubaneswar,359SFSV1,19'',66.5'' [ d 6'' ],Digital Print on 5 MM Sunboard,,3,#VALUE!,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,,Shillong,8524FFV1,29'',106'',Backlit Fabric with silicon strip,,1,21.34722222,,,,,,
2,East,,Shillong,8524FFV10,39'',105'',Backlit Fabric with Silicon strip,,1,28.4375,,,,,,
3,East,,Shillong,8524TFV3,34'',95'',Backlit Fabric with Silicon strip,,1,22.43055556,,,,,,
4,East,,Shillong,8524TFV2,26'',95'',Backlit Fabric with Silicon strip,,1,17.15277778,,,,,,
5,East,,Shillong,8524TFCC1,180'',55'',Backlit Fabric with Silicon strip,,1,68.75,,,,,,
6,East,,Shillong,8524SFV5,26'',106'',Backlit Fabric with Silicon strip,,1,19.13888889,,,,,,
7,East,,Shillong,8524SFV4,26'',106'',Backlit Fabric with Silicon strip,,1,19.13888889,,,,,,
8,East,,Shillong,8524SFV3,26'',106'',Backlit Fabric with Silicon strip,,1,19.13888889,,,,,,
9,East,,Shillong,8524SFV2,26'',106'',Backlit Fabric with Silicon strip,,1,19.13888889,,,,,,
10,East,,Shillong,8524SFV1,26'',106'',Backlit Fabric with Silicon strip,,1,19.13888889,,,,,,
11,East,,Shillong,8525FFV14,35'',106'',Backlit Fabric with Silicon strip,,1,25.76388889,,,,,,
12,East,,Shillong,8524FFV13,26'',107'',Backlit Fabric with Silicon strip,,1,19.31944444,,,,,,
13,East,,Shillong,8524FFV12,25'',106'',Backlit Fabric with Silicon strip,,1,18.40277778,,,,,,
14,East,,Shillong,8524FFV11,39'',105'',Backlit Fabric with Silicon strip,,1,28.4375,,,,,,
15,East,,Shillong,8524FFV10,39'',105'',Backlit Fabric with Silicon strip,,1,28.4375,,,,,,
16,East,,Shillong,8524FFV9,39'',105'',Backlit Fabric with Silicon strip,,1,28.4375,,,,,,
17,East,,Shillong,8524FFV8,39'',105'',Backlit Fabric with Silicon strip,,1,28.4375,,,,,,
18,East,,Shillong,8524FFV7,39'',106'',Backlit Fabric with Silicon strip,,1,28.70833333,,,,,,
19,East,,Shillong,8524FFV6,39'',106'',Backlit Fabric with Silicon strip,,1,28.70833333,,,,,,
20,East,,Shillong,8524FFV5,27'',107'',Backlit Fabric with Silicon strip,,1,20.0625,,,,,,
21,East,,Shillong,8524FFV4,26'',107'',Backlit Fabric with Silicon strip,,1,19.31944444,,,,,,
22,East,,Shillong,8524FFV3,26'',107'',Backlit Fabric with Silicon strip,,1,19.31944444,,,,,,
23,East,,Shillong,8524FFV2,24'',105'',Backlit Fabric with Silicon strip,,1,17.5,,,,,,
24,East,,Shillong,8524FFV1,29'',106'',Backlit Fabric with Silicon strip,,1,21.34722222,,,,,,
25,East,,Shillong,8524FFSV1,17'',58'',TRANSLIT,,4,6.645833333,,,,,,
26,East,,Shillong,8524FB2,104'',68'',Backlit Fabric with Silicon strip,,1,49.11111111,,,,,,
27,East,,Shillong,8524FB1,104'',68'',Backlit Fabric with Silicon strip,,1,49.11111111,,,,,,
28,East,,Shillong,8524TFV4,26'',96'',Backlit Fabric with Silicon strip,,1,17.33333333,,,,,,
29,East,,Shillong,,307'',134'',GB Vinyl,,,285.6805556,,,,,,
30,East,,Shillong,,63'',116'',GB vinyl,,,50.75,,,,,,
31,East,,Shillong,,73'',120'',GB vinyl,,,60.83333333,,,,,,
32,East,,Shillong,,46'',120'',GB vinyl,,,38.33333333,,,,,,
33,East,,Shillong,,290'',120'',GB vinyl,,,241.6666667,,,,,,
34,East,,Shillong,,40'',115'',GB vinyl,,,31.94444444,,,,,,
35,East,,Shillong,,16'',134'',GB Vinyl,,,14.88888889,,,,,,
36,East,,Shillong,,36'',134'',GB Vinyl,,,33.5,,,,,,
37,East,,Shillong,,299'',134'',GB Vinyl,,,278.2361111,,,,,,
,,,,,,,,,,,,,,,,
1,East,,Dimapur,8531FFV1,27'',104'',FABRIC BL,,1,19.5,,,,,,
2,East,,Dimapur,8531FFV2,31'',104'',FABRIC BL,,1,22.38888889,,,,,,
3,East,,Dimapur,8531FFFB1,98'',96'',Fabric BL,,1,65.33333333,,,,,,
4,East,,Dimapur,8531FFFB2,98'',96'',Fabric BL,,1,65.33333333,,,,,,
5,East,,Dimapur,8531FFFB3,169'',98'',Fabric BL,,1,115.0138889,,,,,,
6,East,,Dimapur,,640'',122'',Clear Vinyl + White Vinyl,,,542.2222222,,,,,,
7,East,,Dimapur,8531FFV3,27'',104'',FABRIC BL,,1,19.5,,,,,,
8,East,,Dimapur,8531FFV4,27'',104'',FABRIC BL,,1,19.5,,,,,,
9,East,,Dimapur,8531FFV5,27'',104'',FABRIC BL,,1,19.5,,,,,,
10,East,,Dimapur,8531FFV7,27'',104'',FABRIC BL,,1,19.5,,,,,,
11,East,,Dimapur,8531FFV6,27'',104'',FABRIC BL,,1,19.5,,,,,,
12,East,,Dimapur,8531FFV8,27'',104'',FABRIC BL,,1,19.5,,,,,,
13,East,,Dimapur,,27'',104'',FABRIC BL,,1,19.5,,,,,,
14,East,,Dimapur,8531FFV9,27'',104'',FABRIC BL,,1,19.5,,,,,,
15,East,,Dimapur,8531GFCC1,155'',68'',FABRIC BL,,1,73.19444444,,,,,,
16,East,,Dimapur,8531GFSV1,18'',58'',TRANSLIT,,1,7.048611111,,,,,,
17,East,,Dimapur,,18'',58'',TRANSLIT,,1,7.048611111,,,,,,
18,East,,Dimapur,8531GFV1,27'',104'',FABRIC BL,,1,19.5,,,,,,
19,East,,Dimapur,8531GFV2,27'',119'',FABRIC BL,,1,22.3125,,,,,,
20,East,,Dimapur,8531GFV3,27'',104'',FABRIC BL,,1,19.5,,,,,,
21,East,,Dimapur,8531GFV4,27'',104'',FABRIC BL,,1,19.5,,,,,,
22,East,,Dimapur,8531GFV5,27'',104'',FABRIC BL,,1,19.5,,,,,,
23,East,,Dimapur,8531GFV6,26'',119'',FABRIC BL,,1,21.48611111,,,,,,
24,East,,Dimapur,8531GFV7,26'',119'',FABRIC BL,,1,21.48611111,,,,,,
25,East,,Dimapur,8531GFV8,27'',112'',FABRIC BL,,1,21,,,,,,
26,East,,Dimapur,8531GFV8,27'',112'',FABRIC BL,,1,21,,,,,,
27,East,,Dimapur,8531GFV9,27'',112'',FABRIC BL,,1,21,,,,,,
28,East,,Dimapur,8531GFV10,26'',112'',FABRIC BL,,1,20.22222222,,,,,,
29,East,,Dimapur,8531GFV11,27'',111'',FABRIC BL,,1,20.8125,,,,,,
30,East,,Dimapur,8531GFV12,27'',111'',FABRIC BL,,1,20.8125,,,,,,
31,East,,Dimapur,8531GFV13,27'',112'',FABRIC BL,,1,21,,,,,,
32,East,,Dimapur,8531GFV14,26'',119'',FABRIC BL,,1,21.48611111,,,,,,
33,East,,Dimapur,8531GFV15,49'',105'',FABRIC BL,,1,35.72916667,,,,,,
34,East,,Dimapur,8531SFCC1,155'',67'',FABRIC BL,,1,72.11805556,,,,,,
35,East,,Dimapur,8531SFV1,27'',104'',FABRIC BL,,1,19.5,,,,,,
36,East,,Dimapur,8531SFV2,28'',104'',FABRIC BL,,1,20.22222222,,,,,,
