Unit No,Store,Store Address
312,Ranchi,"Shoppers Stop Ltd, Nucleus Mall, Circular Road, Opp. East Jail Road, Ranchi, Jharkhand - 834 001."
314,Guwahati,"Shoppers Stop Ltd, City Centre Mall, Near Apollo Hospital, Kristian Basti, G. S. Road, Guwahati, Assam - 781 005."
330,Dehradun,"Shoppers Stop Ltd, Unison Mall, 21, New Cantonment Road, Vijay Colony, Shakthi Colony, Dehradun 248001"
331,Palladium Chennai,"Shoppers Stop Ltd, Palladium Mall, 28, Velachery road, Nagendra Nagar,Velachery, Chennai, Tamil Nadu – 600 042."
346,Crown Lucknow,"Shoppers Stop Ltd, Crown Mall, 111, Faizabad Road, Atif Vihar, Lucknow, Uttar Pradesh - 226028"
347,Nashik,"Shoppers Stop Ltd, JK Square, Next to Fravashi academy, Opp. PTC, Trimbak road, Nashik – 422 002."
358,Mall Of Jaipur,"Shoppers Stop Ltd, Mall Of Jaipur, 01 Kuber Complex Schemes Ghandi Path, Vaishali Nagar, Jaipur, Rajasthan 302021"
359,Bhubaneswar,"Shoppers Stop Ltd, Utkal Galleria Mall, Gautam Nagar St, Gautam Nagar, Bhubaneswar, Odisha 751 014."
450,Phoenix Market City (PMC) Lucknow,"Shoppers Stop Ltd, Phoenix Palassio, Gomti Nagar extn, Near Ekana Stadium, Lucknow 226010"
478,Tapasya Gurgaon,"Shoppers Stop Ltd, Tapasya One, Gold Course Road, Sector 53, Gurugram, Haryana 122 003."
484,Mani Square KOL,"Shoppers Stop Ltd, Mani Square Mall, 206, 164/1, Maniktala Main Road, Kadapara, Phool Bagan, Block A, Kolkata, West Bengal 700054"
496,"Acropolis, Siliguri 2","Shoppers Stop Ltd, Mlacropolis Mall, Opposite to Anandaloke Hospital, 2nd Mile, Sevoke Road, Ward no 41, Siliguri Municipal Corporation, P.S. - Bhaktinagar, P.O. – Siliguri, Dist- Jalpaiguri, West Bengal - 734001."
499,Seawood Nerul,"Shoppers Stop Ltd, Seawood Grand Central, Plot Number R - 1, Sector 40, Seawood Railway Station, Navi Mumbai - 400 706."
500,EDM Ghazibad,"Shoppers Stop Ltd, EDM Mall, Plot No 1, Kaushambi Road, Anand Vihar, Kaushambi, Ghaziabad, Uttar Pradesh 201 001."
596,Airport Delhi,
710,HomeStop Bangalore,"HomeStop 17/2,Ashok Nagar,Magrath Road, Banglore-560025."
711,Select Saket,"HomeStop, A-3, Select City, Home Stop Saket, Unit-711, New Delhi-110 017."
